item,event_name,distribution_method,start_date,end_date,region,notes
dragon-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
dragon-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
dragon-tera-shard,Shiny Treasures of Ruin Tera Shards,,22/08/2025,30/09/2025,All,
dread-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,"Also distributed November 20 to December 17, 2015 in Taiwan."
dream-ball,Players Cup III items,,10/04/2021,12/04/2021,All,
dream-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
dream-ball,The Isle of Armor promotion packs,,22/05/2020,28/05/2020,All,
dubious-disc,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
dusk-ball,Miscellaneous items distribution,,13/04/2023,02/10/2023,Japan,"Included with Rare Candies, Max Revives, and a variety ball set"
dusk-ball,Variety Ball Sets,,18/11/2022,07/03/2023,Japan,
dusk-stone,November 2024 Nintendo newsletter items,newsletter,18/11/2024,31/12/2025,Global,
dusk-stone,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
dynite-ore,Gigantamax Pikachu Max Raid Battle items,,26/02/2021,28/02/2021,,
dynite-ore,Japanese Pokémon Scraps 2020,,20/11/2020,30/04/2021,Japan,
dynite-ore,Pokémon Adventure 25 items,,26/04/2021,30/09/2021,South Korea,
earth-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,
earth-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Japan/Taiwan,
egg,It’s picnic time! sandwich ingredients,,17/01/2025,20/01/2026,All,
egg,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
eject-button,Kohei Fujida's Sableye,,11/06/2022,12/06/2022,all,Held item
eject-button,Wonseok Jung's Grimmsnarl,,11/06/2022,12/06/2022,all,Held item
electirizer,Pokémon Festa 2006 Electabuzz,,25/11/2006,31/01/2007,japan,Held by distributed Electabuzz
electirizer,Spring 2014 Electabuzz,,,,pal,Held by distributed Electabuzz
electirizer,Trade for Evolution! Electabuzz,,10/10/2010,28/11/2010,japan,Held by distributed Electabuzz
electric-seed,Japanese Melemele Island Shiny Tapu Koko,,17/03/2017,31/05/2017,Japan,Held item
electric-seed,Luca Ceribelli's Farigiraf,,15/08/2025,22/08/2025,All,Held item
electric-seed,Melemele Island Shiny Tapu Koko,,18/10/2019,30/11/2019,All,Held item
electric-seed,Melemele Island Shiny Tapu Koko,,14/07/2017,14/08/2017,Americas/PAL,Held item
electric-seed,Melemele Island Tapu Koko,,08/04/2017,09/04/2017,South Korea,Held item
electric-seed,Taiwanese Melemele Island Shiny Tapu Koko,,28/04/2017,30/06/2017,Taiwan,Held item
electric-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
electric-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
electric-tera-shard,Shiny Treasures of Ruin Tera Shards,,19/09/2025,30/09/2025,All,
enigma-berry,Pokémon Global Link Enigma Berry,,27/05/2014,,All except Japan,
enigma-berry,Pokémon Global Link gift rare Berries,,07/01/2019,02/09/2019,All,
enigma-stone,Enigma Stone Wi-Fi Distribution,Wi-Fi,27/11/2009,11/01/2010,Japan,
enigma-stone,Enigma Stone Wi-Fi Distribution,Wi-Fi,31/07/2010,27/08/2010,North America,
eon-ticket,Eon Ticket e-Card Distribution,Mystery Event,,,North America,Distributed via e-Reader using the Eon Ticket e-Card.
eon-ticket,The Great Eon Ticket Relay,StreetPass,,,United Kingdom,StreetPass relay event for Omega Ruby and Alpha Sapphire.
ether,Pokémon Scarlet and Violet Downloadable Version Adventure Set,Wi-Fi,18/11/2022,07/03/2023,All,
everstone,Michina Town Pichu,,31/05/2023,31/07/2023,south-korea,Held item
everstone,Shokotan Pikachu-colored Pichu,,19/06/2009,31/08/2009,japan,Held item
eviolite,Jirawiwat Thitasiri's Clefairy,,18/06/2022,19/06/2022,All,Held by distributed Clefairy
eviolite,Juyoung Hong's Porygon2,,07/06/2025,09/06/2025,All,Held by distributed Porygon2
eviolite,Nils Dunlop's Porygon2,,07/06/2024,10/06/2024,All,Held by distributed Porygon2
eviolite,Pokémon Players Cup Porygon2,,22/08/2020,31/08/2020,All,Held by distributed Porygon2
exp-candy-l,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,japan,
exp-candy-l,The Isle of Armor promotion packs,,12/06/2020,16/06/2020,all,
exp-candy-s,Pokémon Scarlet and Violet Paldea Encyclopaedia 100 Exp. Candies S,,02/02/2023,31/03/2025,All,
exp-candy-xl,Korean Dynamax Adventure items,,27/03/2021,03/04/2021,Korea,
exp-candy-xl,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
expert-belt,December 2023 Nintendo newsletter Expert Belt,,26/12/2023,28/02/2025,All,
fairy-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
fairy-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
fairy-tera-shard,Shiny Treasures of Ruin Tera Shards,,08/08/2025,30/09/2025,All,
fancy-apple,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
fast-ball,Apricorn Poké Ball Set,,19/11/2021,28/02/2022,All,
fast-ball,Global mission items,,08/08/2017,30/09/2017,All,
fast-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
fast-ball,Pokémon Legends: Z-A – Mega Dimension Luxurious Poké Ball Set,,16/10/2025,10/03/2026,All,
lafeather-ball,20 Feather Balls,,27/02/2022,01/06/2022,"American, European",
fighting-gem,Do Heun's Hitmontop,,17/08/2013,18/08/2013,Korea,Held item
fighting-gem,Trade for Evolution! Pokémon,,10/10/2010,28/11/2010,Japan,Held item
fighting-tera-shard,After School Pokémon Research Club Fighting Tera Shards,,06/07/2023,31/07/2023,All,
fighting-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
fighting-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
fighting-tera-shard,Shiny Treasures of Ruin Tera Shards,,19/09/2025,30/09/2025,All,
fire-gem,Eind Victini,,16/04/2011,31/08/2011,Japan,"Also distributed in Korea December 22, 2011 to January 8, 2012."
fire-gem,Movie 14 Victini,,,,Various,
fire-gem,Ruby and Sapphire Anniversary Groudon,,21/11/2012,10/01/2013,Japan,
fire-stone,PokéDoko Eevee Evolution items,,14/07/2024,30/09/2024,All,
fire-stone,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
fire-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
fire-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
fire-tera-shard,Shiny Treasures of Ruin Tera Shards,,19/09/2025,30/09/2025,All,
fist-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Taiwan,Held by event Arceus
fist-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,Held by event Arceus
flame-orb,Cramorant Max Raid Battle items,,10/02/2021,28/02/2021,All,
flame-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,"Also distributed November 20 to December 17, 2015"
flower-sweet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
flying-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
flying-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
flying-tera-shard,Shiny Treasures of Ruin Tera Shards,,22/08/2025,30/09/2025,All,
focus-band,Dusk Rockruff,,17/11/2017,10/01/2018,Global,Held item
focus-band,Golgo Octillery,,14/10/2007,31/10/2007,Japan,Held by event Octillery
focus-band,Pacifico Pikachu,,16/08/2014,17/08/2014,Japan,Held item
focus-sash,Lotte World Mall battle item set,,29/04/2023,31/05/2023,South Korea,
focus-sash,Summer training support sets,,22/07/2023,30/09/2023,Japan,
fresh-water,Pokémon Ultra Sun and Ultra Moon pre-order Fresh Waters,,17/11/2017,,Japan,
fresh-water,Refreshment Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
fried-fillet,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
friend-ball,Apricorn Poké Ball Set,,19/11/2021,28/02/2022,All,
friend-ball,Global mission items,,21/02/2017,31/03/2017,All,
friend-ball,Nintendo Direct Helpful Items,,21/06/2023,31/07/2023,All,
friend-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
fruit-bunch,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
full-heal,Pokémon Center Sapporo reopening items,,01/12/2016,31/01/2017,Japan,
full-heal,Pokémon Scarlet and Violet Downloadable Version Adventure Set,,18/11/2022,07/03/2023,All,
full-incense,Nihonbashi Snorlax,,14/03/2018,22/04/2018,Japan,Distributed as a held item
full-restore,Dragon King Cup Prizes,,19/01/2014,09/03/2014,Japan,
full-restore,Pokémon Center Sapporo reopening items,,01/12/2016,31/01/2017,Japan,
full-restore,Summer training support sets,,22/07/2023,30/09/2023,Japan,
galarica-wreath,Crown Tournament Galarica Wreath,,06/02/2021,07/02/2021,All,
galladite,Fifth Mega Stone Gift,,10/08/2017,31/10/2017,All,
galladite,tiny tourney Mega Stones,,04/07/2017,31/08/2017,All,
ganlon-berry,Wishmaker Jirachi,,22/03/2004,,North America,Distributed as a held item.
garchompite,Spring Carnival Garchomp,,,,South Korea,Held by distributed Garchomp
gardevoirite,Fifth Mega Stone Gift,,10/08/2017,31/10/2017,All,
gardevoirite,Kimia's Gardevoir,,17/06/2016,31/08/2016,Japanese,Held by distributed Gardevoir
gardevoirite,Mega Evolution Ralts,,16/10/2025,28/02/2026,All,Held by distributed Ralts
gardevoirite,tiny tourney Mega Stones,,04/07/2017,31/08/2017,All,
gengarite,Halloween Gengar,,13/09/2014,14/10/2014,Japan,
gengarite,Pokémon Center Battle Championship Gengar,,02/06/2014,08/06/2014,Japan,
ghost-gem,Trade for Evolution! Pokémon,,10/10/2010,28/11/2010,japan,Distributed as a held item.
ghost-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
ghost-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
ghost-tera-shard,Shiny Treasures of Ruin Tera Shards,,05/09/2025,30/09/2025,All,
gigantamix,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
lagigaton-ball,"Ultra, Gigaton and Jet Balls",,27/02/2022,31/03/2022,All,
glalitite,Special Demo Version Mega Glalie,,15/10/2014,,"American, PAL, Korean, Taiwanese",Received as a held item via transfer from the Special Demo Version.
gold-bottle-cap,Players Cup II Gold Bottle Cap,,11/12/2020,14/12/2020,Global,
gold-bottle-cap,Pokémon Sun and Moon Guide Book Gold Bottle Cap,,14/12/2016,13/01/2018,Japan,
grass-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
grass-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
grass-tera-shard,Shiny Treasures of Ruin Tera Shards,,08/08/2025,30/09/2025,All,
grassy-seed,Ula'ula Island Shiny Tapu Bulu,,19/03/2019,29/04/2019,All,Distributed as a held item
great-ball,Japanese 7-11 Onigiri Balls,,18/11/2022,10/01/2023,Japan,
green-bell-pepper,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
griseous-orb,Dahara City Giratina,,26/11/2015,31/01/2016,Korea,Held by event Giratina
griseous-orb,Dahara City Giratina,,20/06/2015,31/08/2015,Japan,Held by event Giratina
grit-pebble,"Grit Pebbles, Rare Candies and Star Pieces",,04/03/2022,31/03/2022,All,
ground-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
ground-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
ground-tera-shard,Shiny Treasures of Ruin Tera Shards,,05/09/2025,30/09/2025,All,
gs-ball,GS Ball Distribution,Mobile System GB / In-game event,,,Japan,Originally distributed via the Pokémon Communication Center in Japanese Pokémon Crystal; later obtainable without event in Virtual Console releases after entering the Hall of Fame.
gyaradosite,Pokémon Center Battle Championship Gyarados,,10/05/2014,18/05/2014,Japan,
